img_id,filename,original_path,class_id,class_name,is_train,orig_width,orig_height,bbox_x,bbox_y,bbox_w,bbox_h,bbox_ratio,target_width,target_height,hflip_applied
180,00180_Groove_Billed_Ani_0094_1540.jpg,004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg,4,004.Groove_billed_Ani,0,500,400,17.0,87.0,433.0,262.0,1.6527,224,224,0
213,00213_Groove_Billed_Ani_0047_1706.jpg,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg,4,004.Groove_billed_Ani,1,500,349,115.0,59.0,329.0,255.0,1.2902,224,224,1
325,00325_Parakeet_Auklet_0017_795924.jpg,007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,7,007.Parakeet_Auklet,0,500,366,138.0,55.0,338.0,259.0,1.305,224,224,1
412,00412_Rhinoceros_Auklet_0004_797541.jpg,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0004_797541.jpg,8,008.Rhinoceros_Auklet,0,500,350,19.0,36.0,356.0,301.0,1.1827,224,224,0
503,00503_Red_Winged_Blackbird_0089_4188.jpg,010.Red_winged_Blackbird/Red_Winged_Blackbird_0089_4188.jpg,10,010.Red_winged_Blackbird,0,500,348,142.0,68.0,332.0,212.0,1.566,224,224,1
562,00562_Rusty_Blackbird_0122_6736.jpg,011.Rusty_Blackbird/Rusty_Blackbird_0122_6736.jpg,11,011.Rusty_Blackbird,1,500,333,95.0,64.0,270.0,238.0,1.1345,224,224,0
646,00646_Yellow_Headed_Blackbird_0098_8367.jpg,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0098_8367.jpg,12,012.Yellow_headed_Blackbird,0,500,375,98.0,102.0,270.0,178.0,1.5169,224,224,1
699,00699_Bobolink_0002_11085.jpg,013.Bobolink/Bobolink_0002_11085.jpg,13,013.Bobolink,1,500,376,19.0,47.0,264.0,206.0,1.2816,224,224,0
702,00702_Bobolink_0064_10092.jpg,013.Bobolink/Bobolink_0064_10092.jpg,13,013.Bobolink,1,500,318,84.0,68.0,370.0,232.0,1.5948,224,224,1
742,00742_Indigo_Bunting_0073_13933.jpg,014.Indigo_Bunting/Indigo_Bunting_0073_13933.jpg,14,014.Indigo_Bunting,0,411,500,150.0,145.0,239.0,239.0,1.0,224,224,1
773,00773_Indigo_Bunting_0033_12777.jpg,014.Indigo_Bunting/Indigo_Bunting_0033_12777.jpg,14,014.Indigo_Bunting,0,333,500,52.0,147.0,260.0,200.0,1.3,224,224,1
775,00775_Indigo_Bunting_0006_14317.jpg,014.Indigo_Bunting/Indigo_Bunting_0006_14317.jpg,14,014.Indigo_Bunting,1,500,500,7.0,105.0,431.0,288.0,1.4965,224,224,0
791,00791_Lazuli_Bunting_0027_14895.jpg,015.Lazuli_Bunting/Lazuli_Bunting_0027_14895.jpg,15,015.Lazuli_Bunting,1,500,420,69.0,87.0,300.0,179.0,1.676,224,224,0
839,00839_Painted_Bunting_0004_16641.jpg,016.Painted_Bunting/Painted_Bunting_0004_16641.jpg,16,016.Painted_Bunting,0,500,389,87.0,47.0,378.0,246.0,1.5366,224,224,1
